Year,GMSL,SigmaError
1934.416667,-116.4258607,20.59401413
1934.5,-116.9431598,20.58091447
1934.583333,-116.6660416,20.56908114
1934.666667,-114.6582938,20.55680101
1934.75,-116.4893154,20.54452114
1934.833333,-115.0569622,20.53224154
1934.916667,-115.3431599,20.51936832
1935,-115.8866625,20.50695533
1935.083333,-116.0721139,20.4946761
1935.166667,-114.6660117,20.48239713
1935.25,-112.1791756,20.47011842
1935.333333,-113.5724384,20.45762774
1935.416667,-113.6622538,20.4454155
1935.5,-114.4803242,20.43313752
1935.583333,-113.6997795,20.4208598
1935.666667,-112.7615622,20.40858235
1935.75,-112.7677226,20.39700004
1935.833333,-112.1862845,20.38402753
1935.916667,-110.4847107,20.37106201
1936,-110.425811,20.35836776
1936.083333,-109.0006851,20.34609101
1936.166667,-112.9028165,20.33381452
1936.25,-113.4871845,20.32153861
1936.333333,-112.7964849,20.30926237
1936.416667,-112.865884,20.2969867
1936.5,-111.9993515,20.28471131
1936.583333,-111.3769527,20.27161786
1936.666667,-112.2860232,20.25852473
1936.75,-111.3283636,20.2454319
1936.833333,-110.9842632,20.2323394
1936.916667,-113.21203,20.21924721
1937,-112.2198172,20.20528784
1937.083333,-110.8284211,20.19219571
1937.166667,-107.294456,20.17910391
1937.25,-111.1596466,20.16539304
1937.333333,-110.4673073,20.15286519
1937.416667,-111.6303074,20.1397743
1937.5,-109.9717462,20.12668372
1937.583333,-111.4343517,20.1144116
1937.666667,-111.1701611,20.10279591
1937.75,-109.7127711,20.09052474
1937.833333,-110.3666465,20.07759695
1937.916667,-106.8695135,20.06548969
1938,-110.5059128,20.04808266
1938.083333,-107.9593247,20.03580918
1938.166667,-110.039307,20.0241241
1938.25,-106.9977166,20.01185154
1938.333333,-107.2512225,19.99957787
1938.416667,-106.8916846,19.98730588
1938.5,-109.6848903,19.97503417
1938.583333,-109.3664091,19.96128491
1938.666667,-108.2373563,19.94819529
1938.75,-107.8715862,19.93506948
1938.833333,-107.9626785,19.92272845
1938.916667,-105.9851931,19.90967364
1939,-104.7747888,19.8958112
1939.083333,-108.5166029,19.88272319
1939.166667,-106.2236282,19.86962671
1939.25,-105.8281442,19.85653934
1939.333333,-105.3926191,19.84345229
1939.416667,-105.3966862,19.8303666
1939.5,-104.3333342,19.81728021
1939.583333,-105.6193215,19.80419415
1939.666667,-105.8510722,19.7911074
1939.75,-103.9358969,19.77802303
1939.833333,-102.9426089,19.76493797
